Company Name,Type,Traded,Traded as,ISIN,Industry,Founded,Founders,Headquarters,Number of locations,Area served,Products,Services,Revenue,Operating income,Net income,Total assets,Total equity,Key people,Number of employees,Subsidiaries,Divisions,Website
Ansys,Public,Nasdaq,ANSS,,Computer software,"Canonsburg, Pennsylvania, United States (1970)",,"Canonsburg, Pennsylvania, U.S.",,,Ansys suite of engineering simulation software,, US$1.516 billion , US$515.04 million , US$451.3 million, US$4.839 billion , US$3.453 billion ,"Ronald W. Hovsepian, ChairmanAjei S. Gopal, President and CEO","4,100",,,ansys.com
Antenna Products Corporation,Public,Nasdaq,ANTP,,communication equipment,,,,,,,,,,,,,,,,,http://antennaproducts.com/
APA Corporation,Public,Nasdaq,APAS,US03743Q1085,Petroleum industry,1954; 67 years ago (1954),Truman AndersonCharles ArnaoRaymond Plank,"Post Oak CentralHouston, Texas, U.S.",,,PetroleumNatural gas,,US$ 4.308 billion,,US$ 4.860 billion,US$ 12.746 billion,US$ 0.645 billion,"John J. Christmann IV, CEO","3,163",,,apacorp.com
AppFolio,Public,Nasdaq,APPF,,Software,2006; 15 years ago (2006),Klaus SchauserJon Walker,"Santa Barbara, California, United States",,USA,(see products)AppFolio Property ManagerAppFolio Investment Management,Software as a Service,310.1 million ,,,,,"Jason Randall, CEO Jon Walker, CTO","1,335",,,appfolioinc.com
Apple Inc.,Public,Nasdaq,AAPL,US0378331005,Computer hardwareComputer softwareConsumer electronicsCloud computingDigital distributionFabless silicon designSemiconductorsMediaRetailFinancial technologyArtificial intelligence,"April 1, 1976; 45 years ago (1976-04-01)",Steve JobsSteve WozniakRonald Wayne,"1 Apple Park WayCupertino, California, U.S.",514 retail stores  (2021),Worldwide,ListMacintoshiPodiPhoneiPadApple PencilApple WatchApple TVHomePodmacOSAirpodsiOSiPadOSwatchOStvOSiLifeiWorkFinal Cut ProLogic ProGarageBandShazamSiriAirTags,ListApp StoreApple ArcadeApple CardApple MusicApple Music 1Apple News+Apple PayCashApple StoreGenius BarApple TV+Apple Fitness+Apple BooksiCloudiMessageiTunes StoreMac App Store,US$ 274.515 billion,US$ 66.288 billion,US$ 57.411 billion,US$ 323.888 billion,US$ 65.339 billion,Arthur D. Levinson (Chairman)Tim Cook (CEO)Jeff Williams (COO)Luca Maestri (CFO),"147,000  ","Braeburn CapitalBeats ElectronicsClarisApple Energy, LLCApple Sales InternationalApple ServicesApple Worldwide VideoAnobitBeddit",,www.apple.com
Applied Genetic Technologies Corporation,Public,Nasdaq,AGTC,,Biotechnology,"January 19, 1999; 22 years ago (1999-01-19)",,"Alachua, Florida, United States",,,,, US$ 24.19 million, US$ -22.38 million, US$ -21.30 million, US$ 118.53 million, US$ 99.18 million,Susan B. Washer(President & CEO)William A. Sullivan(CFO),78,,,AGTC.com
Applied Materials,Public,Nasdaq,AMAT,,Semiconductors,"November 10, 1967; 53 years ago (1967-11-10)",Michael A. McNeilly,"Santa Clara, California, U.S.",,Worldwide,,, US$17.202 Billion, US$4.365 Billion , US$3.619 Billion , US$22.353 Billion , US$10.578 Billion ,Gary E. Dickerson(President & CEO)Thomas J. Iannotti(Chairman),"c. 24,000",,,appliedmaterials.com
Applied Micro Circuits Corporation,Public,,,,Semiconductors & Related Devices,1979; 42 years ago (1979),,"Santa Clara, California, USA",,,,,US$206 million ,US$-26.1 million ,US$-7.49 million,US$316 million ,US$281 million ,"Paramesh Gopi, CEO",600,,,apm.com
Arcimoto,Public,Nasdaq,FUV,,Automotive,"November 2007; 13 years ago (2007-11) in Eugene, Oregon",Mark Frohnmayer,"Eugene, Oregon, United States",,,Electric vehicles,,,,,,,,,,,arcimoto.com
Arcturus Therapeutics,Public,Nasdaq,ARCT,,Pharmaceutical industry,2013; 8 years ago (2013),Joseph Payne and Pad Chivukula,"San Diego, CA, US",,,"ARCT-810 for treatment of OTCD; received FDA Orphan Drug Status on 27 July 2019; Phase 1 Clinical Trials in Healthy Volunteers Initiated on 05 June 2020, ARCT-021 Vaccine for COVID-19; Phase 1/2 Initiated 22 July 2020, Phase 2 Initiated 9 January 2021",, $21 Million,,,,,"Joseph Payne (President, CEO & Director of the Board), Padmanabh Chivukula (CSO & COO), Andrew Sassine (CFO)",124,,,www.arcturusrx.com
Arena Pharmaceuticals,Public,Nasdaq,ARNA,,Biotechnology,1997,,"San Diego, California, U.S.",,,Belviq,,"US$27,600,000 ","US$ 57,000,000 ","US$ 85,500,000 ","US$261,000,000 ","US$98,600,000 ","Jack Lief, cofounder Dominic Behan, co-founder and senior scientist Amit Munshi, CEO  Kevin Lind, CFO",,,,www.arenapharm.com
Argo Group,Public,NYSE,ARGO,,Insurance,August 1948; 73 years ago (1948-08),,110 Pitts Bay RoadPembroke HM 08Bermuda,,,,, US$ 1.89 billion , US$ 22.3 million , US$ 71.9 million, US$ 10.47 billion , US$ 1.86 billion ,Kevin J. Rehnberg(President & CEO)Scott Kirk(Executive VP & CFO),"1,515",,,www.argogroup.com
Arotech Corporation,Private,NASDAQ,ARTX,,DefenseAerospace,1990; 31 years ago (1990),,"Delaware, United States",,,,, US$ 98.7 million , US$ 2.9 million , US$ 3.8 million,,,Dean M. Krutty  Chief Executive Officer,472,,,http://www.arotech.com/
Arrival (company),Public,Nasdaq,ARVL,,AutomotiveTechnology,2015; 6 years ago (2015),Denis Sverdlov,"London, United Kingdom",,Worldwide,Electric vehicles,,,,,,,,"2,200",,,arrival.com
Ascent Capital Group,Public,Nasdaq,ASCMA,,Residential Security Monitoring,1999,,"Denver, Colorado, United States",,United States,,,US$311.9M ,US$-28.2M ,US$20.6M ,"US$1,626M",US$560M ,William R. Fitzgerald(Chairman)William E. Niles(CEO),,,,www.ascentcapitalgroupinc.com
ASML Holding,Public,Euronext Amsterdam,ASML,,Semiconductor industry,1984; 37 years ago (1984),,"Veldhoven, Netherlands",,,Photolithography systems for the semiconductor industry,,US$13.98 billion ,,Euro 3.554 billion ,Euro 27.267 billion ,Euro 13.865 billion ,"Peter Wennink (CEO), Gerard Kleisterlee  (Chairman of the supervisory board)",">28,000 ",,,www.asml.com
Assertio Therapeutics,Public,Nasdaq,ASRT,,Pharmaceutical,1995 (1995),,"Newark, California",,,Pharmaceuticals,,US$57.2 million ,US$3.33 million ,US$-13.6 million,,,Dan A. Peisert (CEO),116,,,www.assertiotx.com
Astra (aerospace),Public,Nasdaq,ASTR,,Aerospace,October 2016; 5 years ago (2016-10),Chris KempAdam London,"Alameda, California, U.S.",,,,,,,,,,Chris Kemp (CEO)Adam London (CTO),100,,,https://astra.com
AstraZeneca,Public limited company,LSE,AZN,,PharmaceuticalBiotechnology,6 April 1999; 22 years ago (1999-04-06),,"1 Francis Crick Avenue, Cambridge, UK",,Global,Pharmaceutical products,,US$ 25.890 billion,US$ 5.162 billion,US$ 3.144 billion,US$ 66.729 billion,US$ 15.638 billion,Leif Johansson (Chairman)Pascal Soriot (CEO),"76,100",Alexion PharmaceuticalsMedImmune,,www.astrazeneca.com
Atlantic Tele-Network,Public,Nasdaq,ATNI,,Telecommunications,1987,,"Beverly, Massachusetts, USA",,,,"Local and long-distance telephone service, Internet access, wireless Internet access, digital phone, fiber-optic Internet, wholesale",US$ 451.206 Million,US$  62.097 Million,US$ 36.014 Million,"US$ 1,109.386 Million",,,1000,Commnet Choice WirelessGT&T Viya One Communications,,www.atni.com
Atlantic Union Bank,Public,Nasdaq,AUB,,Banking,"November 4, 1997; 23 years ago (1997-11-04) as First Market Bank",,"Richmond, Virginia, United States",129 branches,VirginiaMarylandNorth Carolina,,Financial services,,, $0.042 billion , $16.868 billion , $2.706 billion ,"John Asbury, CEO",,,,www.atlanticunionbank.com
Atlas Air,,NASDAQ,AAWW,,Transportation,1992; 29 years ago (1992),,"2000 Westchester Avenue, Purchase, New York, U.S.",,,,, US$2.739 Billion, US$293.1 Million, US$139.6.1M , US$5.385B , US$1.792B ,John W. Dietrich(President & CEO)Jim Forbes (COO)William J. Flynn (Chairman),,,,www.atlasair.com 
Atlassian,Public,Nasdaq,TEAM,,Software,"2002; 19 years ago (2002)Sydney, Australia",Mike Cannon-BrookesScott Farquhar,"341 George Street, Sydney, Australia",,,JiraConfluenceHipchat / StrideBitbucket / Bitbucket ServerBambooFisheyeCrucibleTrelloAtlassian MarketplaceSourcetreeCrowdStatuspageOpsGenieJira AlignHalpMindville,,$2.1  billion,,,,,Mike Cannon-BrookesScott Farquhar (Co-Founders & CEOs),"6,117",,,www.atlassian.com
Auburn National Bancorporation,Public limited company,Nasdaq,AUBN,,Financial,1907,,"Auburn, Alabama, United States",,Alabama,,"deposit, loans,Visa Checkcards, ATM",US$ 031.561 million,,US$ 07.846 million,US$ 0853.381 million,US$ 086.906 million,E. Spencer(Chairman & CEO),156,,,
AudioCodes,Public,TASE,AUDC,,"Unified communications, VoIP, Telecommunications, Artificial intelligence, Communication systems, Contact center telephony",1993; 28 years ago (1993),,"Airport City, Israel (Ltd.),Somerset, United States (Inc.)",,,"Session border controllers, Multi-service business routers, Meeting room devices, IP phones, Media gateways, Voice network management,  Quality monitoring tools, Voice applications",,$ 220.8 million ,$ 38.5 million,$ 46.7 million,"$ 243,886,000",,"Shabtai Adlersberg, President and CEO",770,AudioCodes Inc.,,www.AudioCodes.com
Autodesk,Public,Nasdaq,ADSK,,"Software,Media & Entertainment,Manufacturing & Industrialbioscience","January 30, 1982; 39 years ago (1982-01-30)Mill Valley, California, U.S.","John Walker, Dan Drake","111 McInnis Parkway San Rafael, 94903 California, U.S.",,,See products,,US$3.790 billion,US$ 629.1 million,"US$ 1,208.2 million",US$ 7.280 billion,US$ 965.5 million,Crawford W. Beveridge(Chairman)Andrew Anagnost(CEO),"11,500",,,www.autodesk.com
AutoNavi,Subsidiary,,,,"navigation, Location-based service",2001; 20 years ago (2001),,Beijing,,,Electronic map,,"RMB 80,000,000",,,,,Hou Jun,"2,000s ",,,www.autonavi.com
AutoWeb,Public,Nasdaq,AUTO,,Automotive marketing services,1995,Peter R. EllisJohn C. Bedrosian,"400 N. Ashley Drive, Suite 300, Tampa, FL, 33602, Tampa, FL, USA",,,,,,,$1.387 Million,,,"Jared Rowe, President, CEO & Director;Mike Sadowski, EVP & CFO;Glenn Fuller, EVP, CLAO & Secretary;Sara Partin, SVP & CHRO",,,,AutoWeb.com
Avadel Pharmaceuticals,Public limited company,Nasdaq,AVDL,,"Healthcare, Pharmaceutical",1990,,"Dublin, Ireland",,,,,$ 150.2 Million,,,,,"Gregory J. Divis (CEO, Director)Michael F. Kanan  ( Chief Financial Officer )",,,,www.avadel.com
AvePoint,Public,Nasdaq,AVPT,,Computer software,2001; 20 years ago (2001),,"Jersey City, New Jersey, United States",,,Cloud Governance Cloud Backup For Office 365Cloud Backup For SalesforceCloud Backup For Dynamics 365Cloud InsightsCloud RecordsCitizen ServicesMyHubCloud ManagementPolicies and InsightsDocAveGovernance AutomationAvePoint Migration PlatformPerimeterCompliance GuardianOffice ConnectRecords,, $151.5 Million,,,,,Xunkai (Kai) Gong(Executive Chairman & co-founder) Dr. Tianyi (TJ) Jiang(CEO and co-founder),"1,400",,,www.avepoint.com
Avid Technology,Public,Nasdaq,AVID,,"Computer software, Technology, Multimedia",August 1987; 34 years ago (1987-08),Bill Warner,"Burlington, Massachusetts, United States",,,"Pro Tools, Media Composer, Sibelius, Avid VENUE, Avid NEXIS, MediaCentral, FastServe",,US$360.5 million ,US$13.684 million ,US$-10.674 million,US$265.84 million ,US$-166.66 million ,Jeff Rosica (president & €‹  CEO),"1,446",,,www.avid.com
Avis Budget Group,Public,Nasdaq,CAR,,Rental and leasing services,2006 (2006),"Henry Silverman, Warren Avis, Julius Lederer","Parsippany, New Jersey, United States","11,000  (2019)",,,Car and truck rentals, US$9.172 billion , US$788 million , US$302 million, US$23.126 billion , US$656 million ,Bernardo Hees(Executive Chairman)Joe Ferraro(President and CEO),"30,000  ",,,www.avisbudgetgroup.com
"Aware, Inc.",Public,Nasdaq,AWRE,,Biometrics software,"1986 (1986) in Cambridge, Massachusetts",,"Bedford, Massachusetts",,,,,,,,,,,,,,aware.com
Axcelis Technologies,Public,Nasdaq,ACLSS&,,Semiconductor equipment,Incorporated 1995; 26 years ago (1995),,"Beverly, Massachusetts, United States",,,,, $266.9 million, $16.6 million, $11.0 million,,,"Mary G. Puma, Chairman and CEO",845,,,axcelis.com
Axon Enterprise,Public,Nasdaq,AXONS&,,Weapon Manufacture,1993; 28 years ago (1993),,"Scottsdale, Arizona, U.S.",,,"Body worn cameras, digital evidence management, Electroshock weapons",, US$343.8 million ,,,,,"Patrick W. Smith, co-founder, CEO.  Thomas P. Smith, co-founder.  Doug Klint, president and General Counsel.","1,710  ",,,axon.com
Axovant Sciences,Public,Nasdaq,SIOX,,Biopharmaceutical,,Vivek Ramaswamy,,,,,,,,,,,Pavan Cheruvu (CEO),,,,siogtx.com
B.O.S. Better Online Solutions,Public,Nasdaq,BOSC,,Technology,1990 (1990),Israel Gal,"Rishon LeZion, Israel",,,,Information technology services,US$ 33.187 million,US$ 1.257 million ,US$ 0.635 million,,,Yuval Viner (CEO)Avidan Zelicovsky (Pres.),,,,www.boscorporate.com
Baidu,Public,Nasdaq,BIDUSEHK,,Internet,"January 1, 2000; 21 years ago (2000-01-01)",Robin LiEric Xu,"Beijing, China",,Worldwide,,Search engine,CN ¥102.3 billion , CN ¥15.530 billion , CN ¥27.573 billion , CN ¥297.566 billion , CN ¥175.036 billion ,Robin Li (co-founder & CEO),"45,887",,,www.baidu.com
Banc of California,Public,NYSE,BANCS,,Financial services,1941 (as Rohr Employees Federal Credit Union),,"Santa Ana, California",,,,,,,,$7+ billion,,"Jared Wolff, President and Chief Executive Officer",,,,bancofcal.com
BancFirst,Public,Nasdaq,BANFS,,Financial services,1966,,"Oklahoma City, U.S.",,,Banking,,US$237M ,,US$32.6M ,US$4.42B ,US$431M ,"Gene Rainbolt, David Rainbolt, Principal Shareholders",1500+,,,bancfirst.bank
Bandwidth (company),Public,Nasdaq,BAND,,Communication Plateform,1999; 22 years ago (1999),,"Raleigh, North Carolina",,,TelecommunicationsVoiceSMSMMSSIP Trunking911 AccessPhone Numbers,,,,,,,"David Morken, CEO",700+,,,www.bandwidth.com
Bank of Greene County,Public,Nasdaq,GCBC,,Financial services,"1889 Catskill, NY",,"302 Main St., Catskill, NY 12414",,,Banking,,,, US$14.4 million , US$1.2 billion  ,,"Donald E. Gibson, President & CEOMichelle Plummer, CFO & COO Stephen Nelson, Chief Lending Officer",147,,,www.tbogc.com
Bank of Hope,Public,Nasdaq,HOPES,,Banking,"June 5, 2000; 21 years ago (2000-06-05)",,"Koreatown, Los Angeles, California",,,,,,, $0.171 billion , $15.214 billion , $1.982 billion ,"Kevin S. Kim, President & CEODavid P. Malone, President & COOAlex Ko, CFOScott Yoon-Suk Whang, Chairman","1,441",,,www.bankofhope.com
Bank OZK,Public,Nasdaq,OZKS&,,Financial services,"1903; 118 years ago (1903)Jasper, Arkansas, US",,"Little Rock, Arkansas, Arkansas, U.S.",,,"Retail Banking, Commercial Banking and Treasury",, US$ 965.4 million , US$ 564.3 million , US$ 425.9 million, US$ 23.55 billion , US$ 4.15 billion ,George G. Gleason II(Chairman and CEO),"2,563",,,ozk.com
Banner Bank,Public,Nasdaq,BANRS,,Commercial Banks,1890 (as National Building Loan & Trust Association),,"Walla Walla, Washington, United States",,,Checking accountsSavingsCommercial bankingConsumer lendingConstruction loansHome loans,,US$225M ,,US$16.9M ,US$12.78b ,US$1.3B ,Mark J. Grescovich (President & CEO),"Approximately 2,000",,,www.bannerbank.com
Bassett Furniture,Public,Nasdaq,BSET,,Furniture,1902,"J. D. Bassett, Charles C. Bassett, Samuel H. Bassett, and Reed L. Stone","Bassett, Virginia, U.S.",,,Home furnishings and fixtures,,US$ 452.5 million ,US$ 27.02 million ,US$ 18.26 million,US$ 293.75 million ,US$ 191.46 million ,Robert H. Spilman Jr. (CEO),"2,618",,,www.bassettfurniture.com
Beacon Building Products,Public,Nasdaq,BECN,,Building Materials,1928,,"Herndon, Virginia, United States",,,,,US$6.94 billion,US$35.1 million ,,,,Julian G. Francis President and CEOPhilip W. KniselyChairman of the Board,"7,582  ",,,becn.com
Beasley Broadcast Group,Public,Nasdaq,BBGI,,Advertising; Radio broadcasting,"Benson, North Carolina (1961)",,"Naples, Florida, United States",,,Radio Stations,, $262 million, US $25.9 million  , US $10.1 million ,,,"George G. Beasley(Founder, CEO, & Chairman of the Board)Caroline Beasley(CFO, Vice President, & Director)Bruce G. Beasley(President, COO, & Director)Mark S. Fowler(Director)",748; 417 ,"Beasley Media Group, Inc.",,BBGI Corporate Website
Bebe Stores,Public,Nasdaq,BEBE,,Retail,"June 7, 1976; 45 years ago (1976-06-07)San Francisco, California, U.S.",,"400 Valley Drive,Brisbane, California, U.S.",1,,Apparel,, US$603 million , US$16.6 million , US$12.6 million, US$571 million , US$459 million ,"Manny Mashouf (Founder and CEO), Kenneth M. Young (Director)","4,433",,,www.bebe.com
Bed Bath & Beyond,Public,Nasdaq,BBBYS,,Retail,"1971; 50 years ago (1971)Springfield, New Jersey, U.S.",Warren EisenbergLeonard Feinstein,"Union, New Jersey, U.S.","1,460 (all divisions)  (by 2020)",,"Home furnishings, domestics merchandise",,US$ 12.0 billion,US$ 761.3 million,US$ 424.9 million,US$ 7.041 billion,US$ 2.889 billion,[when?]Warren Eisenberg (Co-Chairman)Leonard Feinstein (Co-Chairman)Mark Tritton (CEO)Arthur Stark (President),"55,000  ",See below,,bedbathandbeyond.com
Benitec Biopharma,Biotechnology,Nasdaq,BNTC,,RNA interference,1997,,"Melbourne, VIC",,,"Gene silencing, Gene expression, RNA interference (ddRNAi)",,,,,,,Michael Graham (Founding Scientist & Head of Discovery),,,,www.benitec.com
Bentley Systems,Public,Nasdaq,BSY,,Computer Software,"1984; 37 years ago (1984)Exton, Pennsylvania",,"Exton, Pennsylvania",,,Software,, US$801.5 million ,,,,,"Greg Bentley, CEOKeith A. Bentley, Co-FounderBarry J. Bentley, Co-FounderRaymond B. Bentley, Co-Founder","3,800",,,www.bentley.com
Berry Petroleum Company,Public,Nasdaq,BRY,,Petroleum industry,1909; 112 years ago (1909),Clarence Berry,"Dallas, TX",,,PetroleumNatural gasNatural gas liquids,, $559 million ,, $43 million, $1.690 billion , $972 million ,"Trem Smith, CEO",355,,,bry.com
Beyond Meat,Public,Nasdaq,BYND,,Food,2009; 12 years ago (2009),Ethan Brown,"El Segundo, California, U.S.",,,,,$406.8  million ,,,,,,472,,,beyondmeat.com
BGC Partners,Public,Nasdaq,BGCP,,BankingFinancial services,1945 (1945),,"New York, New York, U.S.",,Worldwide,Commercial real estateCommoditiesCredit derivativesEquitiesEquity derivativesFixed-income securitiesForeign exchangeFuturesInterest rate swapsStructured products,,US$ 2.613 billion,US$ 188.3 million,US$ 157.7 million,US$ 3.508 billion,US$ 1.157 billion,Howard Lutnick (chairman & CEO),"9,238  ",,,Official website 
Big 5 Sporting Goods,Public,Nasdaq,BGFVS&,,Sporting GoodsOutdoor Gear,"1955 (1955) (founded by Maury Liff, original home office Hawthorne, CA)",,"El Segundo, CA, California, United States",420,,,,US$1.02 billion ,US$34.2 Million ,US$20.6 Million,US$392 Million,US$151 Million,Steven G. Miller (CEO),"9,500",,,big5sportinggoods.com
BigCommerce,Public,Nasdaq,BIGC,,eCommerce,2009,,"Austin, Texas",,,Hosted Shopping Cart,, $112.1 Million ,,,,,"Brent Bellm (CEO)Eddie Machaalani (Co-Founder, Executive Chairman)Mitchell Harper (Co-Founder)Lisa Pearson (CMO)Brian Dhatt (CTO)Robert Alvarez (COO & CFO)",600,,,www.bigcommerce.com
Bilibili,,NASDAQ,BILI,,Entertainment,,,,,,,,,,,,,,,,,
BioCryst Pharmaceuticals,Public,Nasdaq,BCRX,,Healthcare,1986,,"Durham, North Carolina, USA",,,RABIVAP,, $49 Million,,,,,"Jon P. Stonehouse , President and Chief Executive Officer",110,,,www.biocryst.com
Biogen,Public,Nasdaq,BIIB,,Biotechnology,1978; 43 years ago (1978),Kenneth MurrayPhillip Allen SharpWalter GilbertHeinz Schaller Charles Weissmann,"Cambridge, Massachusetts, U.S.",,,"Avonex, Fampyra, Plegridy, Tecfidera, Tysabri, Spinraza",, US$13.444 Billion , US$4.550 Billion , US$4.060 Billion , US$24.618 Billion , US$10.686 Billion ,Stelios Papadopoulos (Chairman)  Michel Vounatsos (CEO),"9,100",,,biogen.com
